1.CodigoDeArticulo,Código del Departamento ,Código de Familia,2.CodigoDeCelda,3.StockB,4.StockA,5.Stock,6.ALM,7.stock,8.almacen,9.Familia,10.Subfamilia,11.Descripcion,12:Empresa,13.TipoCelda,14.Clasificacion
MXF0044,COTY,MAXFACTOR,VALL.G.04.01.01,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 098 CON LUZ FOOD,GALAN,,P1
MXF0044,COTY,MAXFACTOR,VALL.G.02.05.01,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 098 CON LUZ FOOD,GALAN,,P1
MXF0044,COTY,MAXFACTOR,VALL.G.01.29.01,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 098 CON LUZ FOOD,GALAN,,P1
MXF0044,COTY,MAXFACTOR,VALL.G.01.30.01,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 098 CON LUZ FOOD,GALAN,,P1
MXF0044,COTY,MAXFACTOR,VALL.G.01.31.01,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 098 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.38.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.45.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.41.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.43.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.38.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
